timestamp,condition,duration_seconds,frame_count,no_face_frames,multi_face_frames,single_face_frames,aligned_frames,misaligned_frames,low_light_frames,blur_frames,too_far_frames,too_close_frames,accepted_normal_frames,accessory_frames,brightness_mean,brightness_min,brightness_max,sharpness_mean,sharpness_min,sharpness_max,face_width_ratio_mean,face_width_ratio_min,face_width_ratio_max,detector_counts,state_counts
2026-05-14T21:21:22,unspecified,12.5,349,15,0,334,332,2,0,0,0,0,97,237,88.95,77.67,93.23,429.16,45.37,614.59,0.261,0.234,0.406,No face=15; YUNET=334,glasses=1; mask=187; mask_glasses=49; normal=97
2026-05-14T21:21:43,unspecified,12.5,358,9,0,349,349,0,0,0,0,0,116,233,85.97,56.94,98.54,418.98,68.35,753.85,0.272,0.216,0.384,No face=9; YUNET=349,glasses=1; mask=90; mask_glasses=142; normal=116
2026-05-14T21:22:04,unspecified,12.5,352,14,0,338,338,0,0,0,0,0,57,281,84.57,61.06,91.51,411.47,77.93,520.60,0.270,0.250,0.341,No face=14; YUNET=338,glasses=1; mask=263; mask_glasses=17; normal=57
2026-05-14T21:22:36,unspecified,12.5,334,52,0,282,282,0,0,0,0,0,104,178,91.25,64.07,107.62,274.16,34.89,584.39,0.316,0.237,0.409,No face=52; YUNET=282,glasses=17; mask=29; mask_glasses=132; normal=104
2026-05-14T21:22:57,unspecified,12.4,337,34,0,303,303,0,0,0,0,0,155,148,94.09,80.05,104.67,386.19,49.91,553.83,0.286,0.244,0.322,No face=34; YUNET=303,glasses=5; mask=119; mask_glasses=24; normal=155
2026-05-14T21:23:35,unspecified,12.4,361,0,0,361,361,0,0,0,0,0,0,361,81.44,57.67,88.23,274.49,53.94,476.39,0.235,0.216,0.269,YUNET=361,glasses=305; mask=42; mask_glasses=14
2026-05-14T21:27:47,unspecified,12.4,359,0,0,359,359,0,0,8,0,0,81,278,96.68,68.73,100.86,297.81,8.63,463.91,0.225,0.203,0.362,YUNET=359,glasses=82; mask=150; mask_glasses=46; normal=81
2026-05-14T21:49:55,unspecified,12.4,341,15,0,326,326,0,0,0,0,0,326,0,96.36,79.39,125.79,228.40,52.05,423.45,0.225,0.197,0.253,No face=15; YUNET=326,normal=326
2026-05-14T21:50:18,unspecified,12.5,301,27,0,274,274,0,3,0,0,0,259,15,83.23,49.32,119.68,263.75,38.49,867.73,0.274,0.172,0.372,HOG=2; No face=27; YUNET=272,glasses=15; normal=259
2026-05-14T21:54:09,unspecified,12.5,361,0,0,361,353,8,0,28,0,0,245,116,85.21,56.87,92.10,210.49,9.89,477.53,0.254,0.206,0.322,YUNET=361,glasses=79; mask=14; mask_glasses=23; normal=245
2026-05-14T21:54:31,unspecified,12.5,348,3,0,345,345,0,0,0,0,0,18,327,86.51,74.67,111.15,373.81,127.73,655.08,0.249,0.225,0.322,HOG=11; No face=3; YUNET=334,glasses=321; mask=3; mask_glasses=3; normal=18
2026-05-14T21:55:07,unspecified,12.4,361,0,0,361,361,0,0,0,0,0,53,308,84.39,82.30,88.40,358.88,214.40,475.78,0.242,0.231,0.256,YUNET=361,glasses=308; normal=53
2026-05-14T21:55:29,unspecified,12.4,265,26,0,239,239,0,0,0,0,0,190,49,112.12,55.76,120.59,223.04,47.06,322.81,0.269,0.241,0.350,No face=26; YUNET=239,glasses=21; mask=26; mask_glasses=2; normal=190
2026-05-14T21:56:14,unspecified,12.4,361,0,0,361,361,0,0,0,0,0,272,89,86.73,78.78,93.47,182.76,53.95,296.84,0.248,0.222,0.316,YUNET=361,glasses=85; mask_glasses=4; normal=272
2026-05-14T22:09:45,unspecified,12.4,359,1,0,358,358,0,0,4,0,0,0,358,91.95,77.36,110.72,190.55,16.24,431.08,0.229,0.175,0.263,No face=1; YUNET=358,glasses=26; mask=150; mask_glasses=182
2026-05-14T22:10:06,unspecified,12.4,361,0,2,359,359,0,0,0,0,0,7,352,106.74,94.35,125.79,276.16,127.81,555.91,0.226,0.209,0.241,YUNET=361,glasses=162; mask=66; mask_glasses=124; normal=7
2026-05-14T22:10:26,unspecified,12.5,361,0,0,361,361,0,0,0,0,0,0,361,91.32,63.63,126.67,363.36,62.47,715.42,0.227,0.163,0.253,YUNET=361,glasses=42; mask=49; mask_glasses=270
2026-05-16T14:56:32,unspecified,12.4,323,1,0,322,322,0,0,0,0,0,185,137,111.61,96.86,123.58,918.08,246.53,1544.67,0.223,0.206,0.244,No face=1; YUNET=322,glasses=60; mask=3; mask_glasses=74; normal=185
2026-05-16T14:56:56,unspecified,12.5,302,22,0,280,280,0,0,0,0,0,143,137,117.73,105.74,125.37,1365.89,576.59,2083.69,0.220,0.200,0.250,No face=22; YUNET=280,glasses=122; mask_glasses=15; normal=143
2026-05-16T14:57:32,unspecified,12.4,340,0,0,340,340,0,0,0,0,0,2,338,96.71,71.77,143.28,1103.72,151.72,1700.21,0.231,0.203,0.281,YUNET=340,glasses=22; mask_glasses=316; normal=2
2026-05-19T09:28:29,unspecified,12.5,311,64,0,247,247,0,0,1,0,0,119,128,96.70,67.02,110.15,356.68,16.65,575.45,0.217,0.178,0.487,No face=64; YUNET=247,glasses=1; mask=41; mask_glasses=86; normal=119
2026-05-19T09:28:51,unspecified,12.5,361,0,0,361,361,0,0,0,0,0,49,312,112.92,95.80,141.79,989.07,165.98,1692.48,0.180,0.163,0.228,YUNET=361,glasses=158; mask=17; mask_glasses=137; normal=49
2026-05-19T09:29:12,unspecified,12.5,361,0,0,361,361,0,0,0,2,0,1,360,106.55,91.80,149.83,1354.06,827.40,1963.38,0.172,0.159,0.188,YUNET=361,mask_glasses=360; normal=1
2026-05-19T09:29:56,unspecified,12.5,358,0,35,323,319,4,0,0,24,0,8,315,87.15,56.84,117.44,885.73,173.44,1414.77,0.185,0.147,0.328,YUNET=358,glasses=2; mask=3; mask_glasses=310; normal=8
2026-05-19T09:48:13,unspecified,20.5,600,0,0,600,600,0,0,0,73,0,34,566,93.75,66.98,106.37,1087.05,219.05,1496.63,0.188,0.150,0.244,YUNET=600,glasses=168; mask_glasses=398; normal=34
2026-05-19T09:50:48,unspecified,60.5,1776,34,27,1715,1715,0,0,0,487,0,241,1474,111.37,67.03,164.53,1124.38,284.02,2448.77,0.167,0.138,0.225,HOG=1; No face=34; YUNET=1741,glasses=277; mask=20; mask_glasses=1177; normal=241
2026-05-19T09:55:46,unspecified,60.5,1800,0,1589,211,169,42,0,0,116,0,5,206,105.10,57.44,118.40,1214.14,328.63,1612.62,0.168,0.147,0.234,YUNET=1800,glasses=43; mask_glasses=163; normal=5
2026-05-19T09:57:33,unspecified,60.4,1802,0,1241,561,454,107,0,0,292,0,0,561,120.93,71.10,143.82,1505.09,266.13,2033.80,0.165,0.147,0.228,YUNET=1802,glasses=18; mask_glasses=543
2026-05-19T10:06:53,unspecified,60.5,1783,18,514,1251,1240,11,0,0,103,0,389,862,113.21,86.18,133.05,434.20,61.78,1324.81,0.195,0.072,0.228,HOG=1; No face=18; YUNET=1764,glasses=3; mask=476; mask_glasses=383; normal=389
